Designator,Mid X,Mid Y,Layer,Rotation
R622,33.684999999999995mm,65.9mm,Bottom,180.0
R623,45.059999999999995mm,69.825mm,Bottom,0.0
R624,48.985mm,63.5mm,Bottom,180.0
R629,54.8mm,69.11134799999999mm,Bottom,270.0
R630,39.97mm,66.385mm,Bottom,0.0
U600,42.76mm,73.375mm,Bottom,90.0
U601,52.11mm,64.45mm,Bottom,180.0
U605,50.61mm,69.175372mm,Bottom,0.0
C600,40.522499999999994mm,74.75mm,Top,90.0
C609,48.834999999999994mm,73.325mm,Top,90.0
C610,54.233mm,66.775mm,Top,180.0
C611,39.41mm,68.675mm,Top,90.0
C612,39.41mm,66.775mm,Top,270.0
C613,53.334999999999994mm,71.3mm,Top,180.0
C614,39.41mm,70.8mm,Top,270.0
C615,49.51mm,64.0mm,Top,270.0
C616,51.184999999999995mm,68.8375mm,Top,90.0
D600,30.809999999999995mm,73.9mm,Top,270.0
D601,43.584999999999994mm,75.225mm,Top,0.0
D602,46.559999999999995mm,75.225mm,Top,180.0
D603,51.09245mm,64.395mm,Top,90.0
Q600,35.25mm,70.675mm,Top,270.0
Q601,35.16mm,64.0mm,Top,0.0
R600,39.459999999999994mm,72.85mm,Top,90.0
R601,39.459999999999994mm,74.75mm,Top,90.0
R617,40.709999999999994mm,64.0mm,Top,270.0
R625,51.36mm,71.325mm,Top,180.0
R626,41.584999999999994mm,74.75mm,Top,90.0
R627,48.709999999999994mm,75.2mm,Top,90.0
R628,51.584999999999994mm,66.775mm,Top,0.0
U602,45.059999999999995mm,68.525mm,Top,270.0
U603,53.684999999999995mm,64.525mm,Top,90.0
U604,53.635mm,69.0mm,Top,180.0
R148,70.285mm,22.484989999999996mm,Bottom,0.0
R142,68.88499999999999mm,21.584989999999998mm,Bottom,0.0
U108,52.70479999999999mm,54.67599mm,Top,180.0
VD103,49.88499999999999mm,50.08999mm,Bottom,90.0
U101,77.93499999999999mm,25.23859mm,Top,90.0
C119,70.2849mm,29.96559mm,Bottom,180.0
R147,61.273399999999995mm,22.168689999999998mm,Bottom,180.0
R146,80.9511mm,23.584989999999998mm,Bottom,90.0
R141,67.88499999999999mm,21.584989999999998mm,Bottom,0.0
U102,72.82849999999999mm,26.95649mm,Bottom,0.0
R109,72.7687mm,27.55219mm,Top,0.0
R108,75.68499999999999mm,27.94099mm,Bottom,0.0
Q103,72.0422mm,25.48819mm,Top,0.0
Q102,67.49mm,22.884990000000002mm,Top,0.0
Q101,73.21249999999999mm,22.649990000000003mm,Bottom,180.0
Q100,76.585mm,25.28999mm,Bottom,90.0
L100,66.6856mm,41.33499mm,Bottom,0.0
F100,64.83mm,22.65659mm,Bottom,0.0
C120,68.58489999999999mm,41.48549mm,Top,180.0
C107,73.70649999999999mm,24.88499mm,Bottom,180.0
C106,73.6815mm,29.228089999999998mm,Bottom,180.0
U110,74.13189999999999mm,31.280089999999998mm,Bottom,90.0
R145,74.0928mm,34.24029mm,Bottom,180.0
R144,74.0928mm,33.29479mm,Bottom,180.0
R143,80.6882mm,45.45379mm,Bottom,90.0
R107,71.97109999999999mm,23.30659mm,Top,180.0
D108,72.33189999999999mm,21.93499mm,Top,0.0
U107,50.9785mm,45.481089999999995mm,Bottom,180.0
U106,50.29259999999999mm,32.05319mm,Top,180.0
C134,50.9785mm,47.21739mm,Bottom,180.0
C126,49.989799999999995mm,30.10989mm,Top,0.0
VD102,53.2388mm,50.08999mm,Bottom,90.0
VD101,49.88499999999999mm,54.47999mm,Bottom,270.0
VD100,53.2388mm,54.47999mm,Bottom,270.0
U109,52.70479999999999mm,52.20099mm,Top,180.0
U103,75.585mm,38.859989999999996mm,Bottom,90.0
U100,77.9849mm,32.18449mm,Top,270.0
U195,70.785mm,46.33499mm,Top,270.0
U190,56.584999999999994mm,46.33499mm,Top,270.0
U185,77.88499999999999mm,46.33499mm,Top,270.0
U180,63.684999999999995mm,46.33499mm,Top,270.0
S101,61.885299999999994mm,23.07069mm,Top,180.0
S100,50.738499999999995mm,36.18499mm,Top,270.0
R140,56.78489999999999mm,52.38499mm,Bottom,180.0
R111,80.585mm,41.03499mm,Bottom,0.0
R112,80.585mm,39.984989999999996mm,Bottom,0.0
R117,80.585mm,34.734989999999996mm,Bottom,0.0
R115,80.585mm,36.83499mm,Bottom,0.0
R116,80.585mm,35.78499mm,Bottom,0.0
R114,80.585mm,37.88499mm,Bottom,0.0
R113,80.585mm,38.93499mm,Bottom,0.0
R110,80.585mm,42.08499mm,Bottom,0.0
R120,50.26669999999999mm,28.89799mm,Top,180.0
R100,80.88489999999999mm,32.18499mm,Bottom,270.0
R258,60.12729999999999mm,52.89009mm,Bottom,90.0
R255,80.93499999999999mm,54.78499mm,Bottom,90.0
R256,59.184999999999995mm,50.18499mm,Bottom,270.0
R254,81.035mm,52.33499mm,Top,90.0
R245,63.484899999999996mm,53.83499mm,Bottom,180.0
R227,68.285mm,53.83499mm,Bottom,180.0
R200,77.88489999999999mm,53.83499mm,Bottom,180.0
R197,70.7849mm,44.984989999999996mm,Bottom,0.0
R196,70.785mm,47.78499mm,Bottom,180.0
R195,67.9349mm,48.28499mm,Bottom,90.0
R191,56.684999999999995mm,44.984989999999996mm,Bottom,0.0
R190,56.684999999999995mm,47.78499mm,Bottom,180.0
R186,77.88499999999999mm,44.984989999999996mm,Bottom,0.0
R185,77.88499999999999mm,47.78499mm,Bottom,180.0
R181,63.684999999999995mm,44.984989999999996mm,Bottom,0.0
R180,63.684999999999995mm,47.78499mm,Bottom,180.0
R139,55.584999999999994mm,54.88499mm,Top,90.0
R138,56.785mm,54.88499mm,Top,90.0
R137,57.98499999999999mm,54.88499mm,Top,90.0
R136,59.184999999999995mm,54.88499mm,Top,90.0
R135,55.584999999999994mm,53.88499mm,Top,270.0
R132,56.785mm,53.88499mm,Top,270.0
R126,57.98499999999999mm,53.88499mm,Top,270.0
R124,59.184999999999995mm,53.88499mm,Top,270.0
R119,79.985mm,40.984989999999996mm,Top,270.0
R118,79.985mm,36.88499mm,Top,270.0
R253,61.584999999999994mm,54.88499mm,Top,270.0
R252,62.785mm,54.88499mm,Top,270.0
R251,63.98499999999999mm,54.88499mm,Top,270.0
R250,65.185mm,54.88499mm,Top,270.0
R249,61.584999999999994mm,53.88499mm,Top,90.0
R248,62.785mm,53.88499mm,Top,90.0
R247,63.98499999999999mm,53.88499mm,Top,90.0
R246,65.185mm,53.88499mm,Top,90.0
R235,66.38499999999999mm,54.88499mm,Top,270.0
R234,67.585mm,54.88499mm,Top,270.0
R233,68.785mm,54.88499mm,Top,270.0
R232,69.985mm,54.88499mm,Top,270.0
R231,66.38499999999999mm,53.88499mm,Top,90.0
R230,67.585mm,53.88499mm,Top,90.0
R229,68.785mm,53.88499mm,Top,90.0
R228,69.985mm,53.88499mm,Top,90.0
R226,71.18499999999999mm,54.88499mm,Top,90.0
R225,72.38499999999999mm,54.88499mm,Top,90.0
R224,73.585mm,54.88499mm,Top,90.0
R223,74.785mm,54.88499mm,Top,90.0
R222,71.18499999999999mm,53.88499mm,Top,270.0
R221,72.38499999999999mm,53.88499mm,Top,270.0
R220,73.585mm,53.88499mm,Top,270.0
R219,74.785mm,53.88499mm,Top,270.0
R218,73.085mm,53.83499mm,Bottom,180.0
R208,75.985mm,54.88499mm,Top,90.0
R207,77.18499999999999mm,54.88499mm,Top,90.0
R206,78.38499999999999mm,54.88499mm,Top,90.0
R205,79.585mm,54.88499mm,Top,90.0
R204,75.985mm,53.88499mm,Top,270.0
R203,77.18499999999999mm,53.88499mm,Top,270.0
R202,78.38499999999999mm,53.88499mm,Top,270.0
R201,79.585mm,53.88499mm,Top,270.0
P106,58.684999999999995mm,42.93499mm,Top,90.0
P105,66.30499999999999mm,42.93499mm,Top,90.0
P104,62.294999999999995mm,42.93499mm,Top,90.0
P201,60.334999999999994mm,54.38499mm,Top,270.0
P200,80.88499999999999mm,55.88499mm,Top,270.0
J100,55.13499999999999mm,33.08499mm,Bottom,270.0
D100,77.485mm,32.89269mm,Bottom,0.0
D205,50.88849999999999mm,47.62859mm,Top,270.0
D206,63.38499999999999mm,51.08499mm,Top,0.0
D203,68.18499999999999mm,51.08499mm,Top,0.0
D200,77.785mm,51.08499mm,Top,0.0
D116,76.4489mm,42.285489999999996mm,Top,0.0
D115,72.2106mm,42.285489999999996mm,Top,0.0
D114,76.4489mm,40.352090000000004mm,Top,0.0
D113,72.2106mm,40.352090000000004mm,Top,0.0
D112,76.4489mm,38.41879mm,Top,0.0
D111,72.2106mm,38.41879mm,Top,0.0
D110,76.4489mm,36.48549mm,Top,0.0
D109,72.33189999999999mm,36.346090000000004mm,Top,0.0
