Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
Q8,4.662500mm,58.068750mm,Top,90.0,4.662500mm,58.068750mm
Q9,28.355000mm,53.205000mm,Top,0.0,28.355000mm,53.205000mm
Q10,28.375000mm,43.985000mm,Top,0.0,28.375000mm,43.985000mm
Q11,28.385000mm,36.985000mm,Top,0.0,28.385000mm,36.985000mm
Q12,28.375000mm,29.965000mm,Top,0.0,28.375000mm,29.965000mm
R9,9.185000mm,8.065000mm,Top,-90.0,9.185000mm,8.065000mm
R10,2.085000mm,31.695000mm,Top,0.0,2.085000mm,31.695000mm
R11,2.105000mm,24.825000mm,Top,0.0,2.105000mm,24.825000mm
R14,1.445000mm,12.245000mm,Top,-90.0,1.445000mm,12.245000mm
R15,2.085000mm,50.175000mm,Top,180.0,2.085000mm,50.175000mm
R16,2.085000mm,43.395000mm,Top,180.0,2.085000mm,43.395000mm
R31,2.085000mm,40.915000mm,Top,0.0,2.085000mm,40.915000mm
R32,2.085000mm,34.165000mm,Top,0.0,2.085000mm,34.165000mm
U1,14.035000mm,7.405000mm,Top,90.0,14.035000mm,7.405000mm
U2,5.315000mm,17.005000mm,Top,90.0,5.315000mm,17.005000mm
U4,93.865000mm,4.525000mm,Top,90.0,93.865000mm,4.525000mm
U5,67.850000mm,7.225000mm,Top,-90.0,67.850000mm,7.225000mm
U6,4.455000mm,46.755000mm,Top,270.0,4.455000mm,46.755000mm
U7,4.440000mm,28.320000mm,Top,270.0,4.440000mm,28.320000mm
U10,4.455000mm,37.535000mm,Top,270.0,4.455000mm,37.535000mm
U12,66.155000mm,67.055000mm,Top,90.0,66.155000mm,67.055000mm
